# index, name, nodeLabel, _pos
106,PpD5,PpD5,"array([4.44811499, 2.32562711])"
107,CG18666,CG18666,"array([4.46330676, 2.27885819])"
108,CG10139,CG10139,"array([-0.04234375,  0.72722363])"
109,fd68A,fd68A,"array([0.17358693, 0.69439631])"
110,CG17765,CG17765,"array([0.21518097, 0.81335185])"
111,hug,hug,"array([-0.37987965,  0.48591962])"
112,Src64B,Src64B,"array([0.15784787, 0.94185033])"
113,Sry-beta,Sry-beta,"array([0.17223558, 0.86890932])"
114,robl62A,robl62A,"array([0.40821999, 0.05187453])"
115,CG10834,CG10834,"array([ 0.4835006 , -0.17376461])"
116,CG10927,CG10927,"array([0.30395039, 0.44608962])"
117,CG10144,CG10144,"array([0.81397698, 1.10102271])"
118,Dcp1,Dcp1,"array([0.47429926, 0.93532351])"
119,Rpn6,Rpn6,"array([0.39327151, 0.87636677])"
120,CSN4,CSN4,"array([0.19221935, 0.80508279])"
121,CG10151,CG10151,"array([-0.35525346,  1.46968716])"
122,CG4270,CG4270,"array([-0.13928842,  1.25096599])"
123,CG10153,CG10153,"array([0.7026389 , 0.70728954])"
124,CG5161,CG5161,"array([0.8454561, 0.575795 ])"
125,CG9577,CG9577,"array([0.45681736, 0.78847782])"
126,CG10154,CG10154,"array([0.1337193 , 0.84700179])"
127,CG42856,CG42856,"array([-0.04923012,  0.60328956])"
128,CG17824,CG17824,"array([-0.0501693 ,  0.88141539])"
129,Spred,Spred,"array([0.30108942, 0.63216553])"
130,\"ms(3)K81\",\"ms(3)K81\","array([0.23354086, 0.33646818])"
131,CG10157,CG10157,"array([-0.34046445,  0.84940137])"
132,lig3,lig3,"array([-0.12651584,  1.03908099])"
133,CG31038,CG31038,"array([-0.10643928,  0.89226945])"
134,CG10158,CG10158,"array([0.20374085, 0.57454019])"
135,CG17494,CG17494,"array([0.24088522, 0.64564086])"
136,katanin-60,katanin-60,"array([0.14736137, 0.95389493])"
137,CG10650,CG10650,"array([-0.04986794,  0.79193445])"
138,CG31672,CG31672,"array([-0.09946496,  1.02570202])"
139,ImpL3,ImpL3,"array([0.39471278, 0.93968179])"
140,CG17029,CG17029,"array([0.7249167 , 1.15351559])"
141,eIF-3p66,eIF-3p66,"array([-0.16781091,  0.81754041])"
142,CG2061,CG2061,"array([0.12649347, 0.68083202])"
143,CG10164,CG10164,"array([0.01204489, 0.88242156])"
144,RpII18,RpII18,"array([0.06427634, 1.17466759])"
145,CG12470,CG12470,"array([0.1036305 , 0.74414913])"
146,msps,msps,"array([0.14324255, 1.13848911])"
147,CG7488,CG7488,"array([-0.10398006,  0.65731079])"
148,Mfap1,Mfap1,"array([-0.03097215,  0.65866862])"
149,Rcd5,Rcd5,"array([0.0487625 , 0.81278685])"
150,Drep-2,Drep-2,"array([0.21809651, 0.64800322])"
151,Prp38,Prp38,"array([-0.12426149,  0.5119523 ])"
152,Drep-3,Drep-3,"array([0.004481  , 0.83123293])"
153,Best2,Best2,"array([0.28027343, 0.58534584])"
154,CG8833,CG8833,"array([0.36589195, 0.34854231])"
155,Ntf-2r,Ntf-2r,"array([0.39810587, 1.19013776])"
156,CG12081,CG12081,"array([0.19324231, 0.88915598])"
157,Scm,Scm,"array([0.1324626 , 1.04849516])"
158,CG10176,CG10176,"array([-0.51597158,  1.21240345])"
159,CG10177,CG10177,"array([0.77835619, 1.15232425])"
160,Arf102F,Arf102F,"array([0.47422454, 0.97116225])"
161,Mdr65,Mdr65,"array([0.01555763, 0.57816906])"
162,CG15753,CG15753,"array([0.20561156, 0.67477361])"
163,sns,sns,"array([0.09940247, 0.75734097])"
164,CG10189,CG10189,"array([0.20294216, 0.34342834])"
165,Nha1,Nha1,"array([0.06230777, 0.39200237])"
166,Mlp84B,Mlp84B,"array([-0.07558801,  0.81422843])"
167,CG10722,CG10722,"array([-0.45030561,  0.90463591])"
168,Ssl1,Ssl1,"array([0.11784638, 0.46125208])"
169,CG13501,CG13501,"array([-0.31010021,  0.97873912])"
170,CG17440,CG17440,"array([-0.20453318,  0.6669601 ])"
171,CG7046,CG7046,"array([-0.3265025 ,  0.80396884])"
172,slow,slow,"array([-0.10305559,  0.83194747])"
173,CG9572,CG9572,"array([0.01834865, 0.86989368])"
174,CG10195,CG10195,"array([0.47157818, 1.1513963 ])"
175,CG7025,CG7025,"array([0.55244353, 0.76990133])"
176,Nup98,Nup98,"array([0.56793554, 1.02871883])"
177,spo,spo,"array([0.72250788, 0.99538168])"
178,CG10205,CG10205,"array([0.29654012, 1.14761541])"
179,CG17019,CG17019,"array([0.11628865, 1.27757239])"
180,CG6357,CG6357,"array([0.07843962, 0.71959001])"
181,nop5,nop5,"array([-0.18613231,  0.81011245])"
182,eIF2B-beta,eIF2B-beta,"array([-0.06112223,  0.60870334])"
183,CG9825,CG9825,"array([-0.55621185,  0.7891995 ])"
184,NaPi-T,NaPi-T,"array([0.61486359, 0.26030812])"
185,CG9754,CG9754,"array([0.39014853, 0.53845073])"
186,CG10208,CG10208,"array([0.11867304, 0.4191489 ])"
187,CG7564,CG7564,"array([0.03650044, 0.08763185])"
188,CG10209,CG10209,"array([0.12071819, 0.62274629])"
189,CycG,CycG,"array([0.02534783, 0.87550211])"
190,CG14374,CG14374,"array([-0.06481943,  0.26475077])"
191,elfless,elfless,"array([0.00644789, 0.79059682])"
192,CG15458,CG15458,"array([0.23118026, 0.41323534])"
193,CG17362,CG17362,"array([0.064639  , 0.40994223])"
194,CG9040,CG9040,"array([0.35399981, 0.88642315])"
195,CG1021,CG1021,"array([3.25673733, 4.230734  ])"
196,CG17344,CG17344,"array([3.27382398, 4.18062402])"
197,CG10211,CG10211,"array([-0.26664637,  0.96571388])"
198,CG11786,CG11786,"array([-0.36217659,  0.75407679])"
