# index, name, nodeLabel, _pos
1703,CG8541,CG8541,"array([-0.20920438,  0.60276071])"
1704,CG12725,CG12725,"array([-0.06214529,  0.8423777 ])"
1705,CG3663,CG3663,"array([-0.44838008,  0.94010058])"
1706,nimC3,nimC3,"array([-0.3938523 ,  1.07148882])"
1707,CG17826,CG17826,"array([0.12443545, 0.82036351])"
1708,CG12736,CG12736,"array([0.10797038, 0.75275311])"
1709,CG6412,CG6412,"array([0.33139579, 1.0582519 ])"
1710,Jafrac2,Jafrac2,"array([0.29118318, 0.80312086])"
1711,CG15087,CG15087,"array([0.12890471, 0.90914207])"
1712,CG9306,CG9306,"array([0.08792215, 0.60380148])"
1713,RpL28,RpL28,"array([0.44048842, 1.11169231])"
1714,Hrb87F,Hrb87F,"array([-0.11760075,  1.08479193])"
1715,CG12766,CG12766,"array([-0.42561359,  1.29329659])"
1716,CG13369,CG13369,"array([-0.25425646,  1.14277269])"
1717,CG15611,CG15611,"array([-0.6152793 ,  1.42719619])"
1718,mRpS35,mRpS35,"array([-0.52345744,  1.05676553])"
1719,CG31612,CG31612,"array([-0.5971561 ,  1.47485126])"
1720,kl-5,kl-5,"array([-0.64864115,  1.42654976])"
1721,CG6665,CG6665,"array([-0.62537961,  1.45815777])"
1722,CG9965,CG9965,"array([-0.6538658 ,  1.39353946])"
1723,Dip3,Dip3,"array([0.13788744, 0.87946146])"
1724,rev7,rev7,"array([0.01933438, 0.90758738])"
1725,Fer3HCH,Fer3HCH,"array([-0.12309787,  0.64441721])"
1726,CG12782,CG12782,"array([0.2285487 , 0.82066374])"
1727,\"l(1)G0136\",\"l(1)G0136\","array([-0.09645041,  0.86098248])"
1728,CG12784,CG12784,"array([-0.11862601,  1.28675138])"
1729,lcs,lcs,"array([-0.13634124,  0.65191111])"
1730,eIF-4E,eIF-4E,"array([-0.13145006,  0.83480042])"
1731,CG12796,CG12796,"array([0.86779076, 0.81817686])"
1732,Pros29,Pros29,"array([0.50896854, 0.84668921])"
1733,Ciao1,Ciao1,"array([0.71874348, 1.48060493])"
1734,CG7949,CG7949,"array([0.5383647 , 1.27525029])"
1735,Ubc84D,Ubc84D,"array([-0.02847385,  0.94460104])"
1736,CG3999,CG3999,"array([-0.34385895,  1.20058937])"
1737,CG12811,CG12811,"array([0.20658578, 0.5156115 ])"
1738,CG15308,CG15308,"array([0.06084259, 0.67528762])"
1739,Fancl,Fancl,"array([-0.11962803,  0.81218318])"
1740,CG32206,CG32206,"array([-0.31126334,  0.63446157])"
1741,CG7220,CG7220,"array([-0.17824268,  0.87745655])"
1742,CG12817,CG12817,"array([0.15487089, 0.26581278])"
1743,Exp6,Exp6,"array([0.16830778, 0.65993396])"
1744,CG12818,CG12818,"array([0.48329274, 1.15446771])"
1745,ssp,ssp,"array([0.11239012, 0.89706134])"
1746,CG12824,CG12824,"array([0.43593623, 1.38772032])"
1747,grk,grk,"array([0.2222567 , 1.08531522])"
1748,CG12835,CG12835,"array([0.04041299, 0.68274097])"
1749,yellow-c,yellow-c,"array([-0.1981117 ,  0.33850361])"
1750,Zpr1,Zpr1,"array([0.25892066, 0.96187179])"
1751,Tsp42El,Tsp42El,"array([0.06119995, 0.37313437])"
1752,Bx42,Bx42,"array([0.02069702, 0.65514457])"
1753,zf30C,zf30C,"array([0.17855654, 0.91815483])"
1754,CG12849,CG12849,"array([0.54719533, 0.95436914])"
1755,HspB8,HspB8,"array([0.24144843, 0.72633737])"
1756,CG18271,CG18271,"array([0.53466242, 0.74431655])"
1757,CG6506,CG6506,"array([0.28148938, 1.13629935])"
1758,CG12857,CG12857,"array([0.18692385, 0.62119044])"
1759,CG13449,CG13449,"array([0.37466031, 0.28479389])"
1760,CG3295,CG3295,"array([0.10695729, 0.60777517])"
1761,CG6617,CG6617,"array([0.27562289, 0.65696482])"
1762,CG12863,CG12863,"array([-0.14681218,  0.71593321])"
1763,RpII33,RpII33,"array([-0.11163311,  0.64620119])"
1764,ALiX,ALiX,"array([0.3631527 , 0.74892462])"
1765,CG31530,CG31530,"array([0.72742528, 0.62800513])"
1766,mRpS7,mRpS7,"array([0.69923686, 0.77902418])"
1767,CG12877,CG12877,"array([0.10705904, 0.66601451])"
1768,Usf,Usf,"array([0.01208194, 0.7612078 ])"
1769,byn,byn,"array([-0.04742147,  0.82504564])"
1770,CG9642,CG9642,"array([0.01476163, 0.43174276])"
1771,CG12895,CG12895,"array([0.43828606, 5.43832482])"
1772,tadr,tadr,"array([0.48845915, 5.43036496])"
1773,CG12907,CG12907,"array([-0.20392257,  0.90880373])"
1774,CG16978,CG16978,"array([0.00675007, 1.0927738 ])"
1775,Peritrophin-15b,Peritrophin-15b,"array([-0.29993745,  1.1805884 ])"
1776,Ndg,Ndg,"array([0.4858841 , 1.01330838])"
1777,CG4860,CG4860,"array([0.66913442, 1.13653091])"
1778,CG12918,CG12918,"array([0.51671525, 0.93580178])"
1779,\"His2A,\"His2A,"array([0.32864316, 1.13624692])"
1780,mRpL42,mRpL42,"array([-0.33968196,  0.72927693])"
1781,mbo,mbo,"array([0.09296154, 0.82253631])"
1782,CG12934,CG12934,"array([0.2632552 , 1.08770628])"
1783,MED17,MED17,"array([0.11741997, 1.01528762])"
1784,CG12935,CG12935,"array([-0.14543943,  1.09585915])"
1785,\"Su(var)3-7\",\"Su(var)3-7\","array([0.02440613, 1.03062626])"
1786,mms4,mms4,"array([-0.39685342,  1.1468    ])"
1787,CG12547,CG12547,"array([-0.64368248,  1.27321413])"
1788,CG12942,CG12942,"array([0.40119024, 0.74984781])"
1789,pasha,pasha,"array([0.60479648, 0.98455048])"
1790,mRpL41,mRpL41,"array([0.43461062, 0.80553942])"
1791,CG14962,CG14962,"array([0.49946165, 0.54871889])"
1792,CG12963,CG12963,"array([0.30951867, 1.51957639])"
1793,csw,csw,"array([0.24030354, 1.14131265])"
1794,CG12975,CG12975,"array([0.0310762 , 1.23468959])"
1795,MED8,MED8,"array([0.07090919, 1.00219246])"
1796,CG12984,CG12984,"array([1.14003425, 1.14685198])"
1797,CG18063,CG18063,"array([0.90616442, 1.07063949])"
1798,CG13247,CG13247,"array([-0.27533537,  0.57135531])"
1799,CanA1,CanA1,"array([0.04005846, 0.96085563])"
1800,CG14840,CG14840,"array([0.00798976, 0.80061384])"
1801,Syx7,Syx7,"array([0.34504389, 0.94813695])"
1802,CycC,CycC,"array([0.06956659, 0.89709946])"
1803,eIF-3p40,eIF-3p40,"array([-0.05153216,  0.9139251 ])"
1804,serp,serp,"array([0.15690397, 0.9350908 ])"
1805,CG12995,CG12995,"array([-0.13319475,  0.637666  ])"
1806,CG13001,CG13001,"array([0.31014834, 0.70327748])"
1807,CG13004,CG13004,"array([-0.07210501,  0.17606552])"
1808,scu,scu,"array([0.3399333 , 0.85384406])"
1809,CG7911,CG7911,"array([0.24504367, 0.83008058])"
1810,CG13022,CG13022,"array([0.09994516, 0.94080272])"
1811,Mer,Mer,"array([0.10236521, 0.98663922])"
1812,f,f,"array([-0.039986 ,  1.2227596])"
1813,CG13023,CG13023,"array([0.72190922, 0.88931789])"
1814,CLIP-190,CLIP-190,"array([0.46525925, 1.12918232])"
1815,CG1965,CG1965,"array([0.02645807, 0.51886246])"
1816,CG2147,CG2147,"array([-0.21945709,  0.98289547])"
1817,s-cup,s-cup,"array([0.0571781 , 1.06411297])"
1818,CG34376,CG34376,"array([-0.00228637,  0.89149457])"
1819,CG3358,CG3358,"array([0.04930335, 0.98410352])"
1820,okr,okr,"array([0.32544922, 0.92949334])"
1821,SC35,SC35,"array([-0.092512  ,  0.92488836])"
1822,CG6652,CG6652,"array([-0.25329195,  0.7200698 ])"
1823,CG7224,CG7224,"array([-0.11474335,  0.88512949])"
1824,pzg,pzg,"array([0.14610196, 0.9330034 ])"
1825,CG8929,CG8929,"array([0.07077672, 0.85128777])"
1826,CG9715,CG9715,"array([0.18009685, 0.85896331])"
1827,CG13031,CG13031,"array([0.04185034, 0.52848443])"
1828,Art4,Art4,"array([0.11824845, 0.89316005])"
1829,CG13032,CG13032,"array([0.06380226, 0.78332041])"
1830,CG13966,CG13966,"array([0.01241569, 0.82943033])"
1831,CG15764,CG15764,"array([0.2174231 , 0.75112702])"
1832,CG5009,CG5009,"array([0.12900434, 0.74106656])"
1833,CG13042,CG13042,"array([-0.48248293,  0.99176574])"
1834,CG13047,CG13047,"array([0.09423836, 0.66651094])"
1835,CG13050,CG13050,"array([0.1355794 , 0.37223522])"
1836,Uro,Uro,"array([0.06176042, 0.4549613 ])"
1837,CG9192,CG9192,"array([0.08256803, 0.50397211])"
1838,CG13054,CG13054,"array([1.10610153, 0.51128251])"
1839,CG5602,CG5602,"array([0.86472446, 0.60270101])"
1840,CG13066,CG13066,"array([-0.07024371,  0.63143116])"
1841,CG4164,CG4164,"array([0.13097098, 0.64151305])"
1842,CG13067,CG13067,"array([0.15251963, 0.6802167 ])"
1843,CG15459,CG15459,"array([0.27251052, 0.80849121])"
1844,RpLP2,RpLP2,"array([0.22430474, 0.88800752])"
1845,CG9368,CG9368,"array([0.0566141 , 0.69111199])"
1846,CG13070,CG13070,"array([-0.20871376,  1.75938231])"
1847,CG7290,CG7290,"array([-0.11852592,  1.51917218])"
1848,PDCD-5,PDCD-5,"array([-0.16420965,  0.4631695 ])"
1849,CG13073,CG13073,"array([0.51798664, 1.31325804])"
1850,stc,stc,"array([0.29971974, 0.99140634])"
1851,RpL19,RpL19,"array([0.17816789, 0.93889405])"
1852,ctp,ctp,"array([0.1989083 , 0.64955119])"
1853,CG13075,CG13075,"array([-0.45937221,  0.78162997])"
1854,CG13482,CG13482,"array([-0.38598442,  0.69881985])"
1855,CG13077,CG13077,"array([0.98672969, 0.58260812])"
1856,CG13671,CG13671,"array([0.68923912, 0.66514234])"
1857,Nnf1a,Nnf1a,"array([-0.03121563,  0.670001  ])"
1858,tll,tll,"array([0.16024476, 0.75790148])"
1859,CG13949,CG13949,"array([0.17015005, 0.55058511])"
1860,Golgin84,Golgin84,"array([0.09177228, 0.56172511])"
1861,CG6664,CG6664,"array([-0.02394433,  0.64254605])"
1862,CG1968,CG1968,"array([0.23386366, 0.86923942])"
1863,CG31534,CG31534,"array([0.08245591, 0.93880887])"
1864,CG13085,CG13085,"array([0.09516472, 0.98140576])"
1865,CG14806,CG14806,"array([-0.00965944,  0.51570459])"
1866,CG4866,CG4866,"array([-0.40646982,  0.28944446])"
1867,mRpL51,mRpL51,"array([0.27149654, 0.19091405])"
1868,CG13113,CG13113,"array([0.50457502, 0.47286632])"
1869,CG3214,CG3214,"array([0.30925063, 0.55081414])"
1870,CG13114,CG13114,"array([0.06428854, 0.80556863])"
1871,CG13124,CG13124,"array([0.01420765, 0.82032276])"
1872,CG13125,CG13125,"array([0.02872711, 0.52982258])"
1873,CG13131,CG13131,"array([0.02792212, 0.6104092 ])"
1874,CAP-D2,CAP-D2,"array([-0.19423523,  0.5409934 ])"
1875,Hph,Hph,"array([0.00928088, 0.56943546])"
1876,CG9360,CG9360,"array([-0.18777093,  0.27135397])"
1877,CG7349,CG7349,"array([-0.09716041,  0.87078276])"
1878,lft,lft,"array([0.0984401 , 1.17921253])"
1879,ds,ds,"array([0.15357349, 1.23685536])"
1880,aly,aly,"array([0.13708216, 1.5408634 ])"
1881,ft,ft,"array([0.11193965, 1.1492518 ])"
1882,dpr19,dpr19,"array([0.46048008, 0.1483029 ])"
1883,CG17739,CG17739,"array([0.34701157, 0.46266325])"
1884,CG13144,CG13144,"array([0.45439413, 0.46972712])"
1885,CG32473,CG32473,"array([0.41587139, 0.62586301])"
1886,Gl,Gl,"array([0.36872949, 0.79330932])"
1887,CG13148,CG13148,"array([-0.15891269,  0.91288759])"
1888,CG1315,CG1315,"array([-0.08544761,  0.41228778])"
1889,CG2129,CG2129,"array([-0.02144948,  0.40089348])"
1890,CG13155,CG13155,"array([-0.20736605,  0.99196573])"
1891,stg,stg,"array([0.07568075, 1.01906965])"
1892,CG13157,CG13157,"array([-0.01551241,  0.8799722 ])"
1893,CG13630,CG13630,"array([-0.05559764,  0.90908385])"
1894,Bap60,Bap60,"array([0.11366596, 0.90492376])"
1895,Or49a,Or49a,"array([0.69953957, 0.5318705 ])"
1896,Mhc,Mhc,"array([0.35901963, 0.7098419 ])"
1897,CG13159,CG13159,"array([0.00457416, 0.84783998])"
1898,Trim9,Trim9,"array([-0.07281703,  0.84095297])"
1899,CG1316,CG1316,"array([0.35397057, 0.52831114])"
1900,CG15772,CG15772,"array([0.11412209, 0.71748271])"
1901,SIP2,SIP2,"array([-0.06479579,  1.12638406])"
1902,CG5987,CG5987,"array([0.10192874, 1.24400951])"
1903,CG9523,CG9523,"array([-0.08999572,  0.29169369])"
1904,CG13185,CG13185,"array([-0.09388126,  0.7100177 ])"
1905,MRG15,MRG15,"array([0.26942745, 0.8183863 ])"
1906,CG13186,CG13186,"array([-0.13855343,  0.81172436])"
1907,CG3557,CG3557,"array([0.1315659 , 0.85469099])"
1908,CG6688,CG6688,"array([0.00403316, 1.01383312])"
1909,CG1319,CG1319,"array([-0.20901701,  0.17972142])"
1910,cuff,cuff,"array([-0.63403641,  0.45279896])"
1911,del,del,"array([-0.36538414,  0.58368794])"
1912,CG13192,CG13192,"array([0.00568744, 1.2046465 ])"
1913,dmrt93B,dmrt93B,"array([0.23580046, 1.24157427])"
1914,CG13196,CG13196,"array([-0.50692909,  1.26072244])"
1915,CG13197,CG13197,"array([0.32079077, 1.42112283])"
1916,CG13204,CG13204,"array([-0.02186239,  0.43026829])"
1917,\"l(2)35Cc\",\"l(2)35Cc\","array([-0.16577111,  0.12610265])"
1918,CG17734,CG17734,"array([-0.13430411,  0.09799685])"
1919,CG2982,CG2982,"array([0.36618851, 1.01032655])"
1920,CG32226,CG32226,"array([0.44788206, 1.02866187])"
1921,Cpr47Ef,Cpr47Ef,"array([0.02184681, 0.76059098])"
1922,CG31682,CG31682,"array([-0.23268629,  0.76452454])"
1923,Cpr47Ee,Cpr47Ee,"array([0.78190206, 1.02042613])"
1924,LKR,LKR,"array([0.61549314, 1.02380486])"
1925,CG13223,CG13223,"array([-0.15054002,  0.25704673])"
1926,CG14044,CG14044,"array([0.06226111, 0.59892032])"
1927,CG13227,CG13227,"array([-0.22130158,  0.54380983])"
1928,CG13721,CG13721,"array([-0.04294209,  0.57451825])"
1929,CG17777,CG17777,"array([-0.02527602,  0.72927126])"
1930,CG1324,CG1324,"array([-0.14583677,  0.97061664])"
1931,CG14427,CG14427,"array([-0.16756153,  1.01747993])"
1932,CG13245,CG13245,"array([-0.04555933,  1.13781184])"
1933,CG9706,CG9706,"array([-0.26159335,  1.44607305])"
1934,LSm7,LSm7,"array([0.32320655, 0.58399379])"
1935,Cyt-b5-r,Cyt-b5-r,"array([0.56541961, 0.46043058])"
1936,Gcn2,Gcn2,"array([-0.5164299 ,  0.64472434])"
1937,CG13293,CG13293,"array([0.18929163, 0.78638699])"
1938,CG6985,CG6985,"array([-0.08502964,  0.86809984])"
1939,CG13295,CG13295,"array([0.16832609, 1.35371182])"
1940,Sin3A,Sin3A,"array([0.12452804, 0.98913187])"
1941,CG13298,CG13298,"array([-0.32505246,  0.74171054])"
1942,CG4066,CG4066,"array([-0.25098257,  0.82630256])"
1943,CG13299,CG13299,"array([-0.12152157,  0.11729074])"
1944,CG5346,CG5346,"array([0.00421014, 0.42839123])"
1945,CG13300,CG13300,"array([-0.54164926,  1.08691714])"
1946,CG9925,CG9925,"array([-0.03709267,  1.20920325])"
1947,CG13310,CG13310,"array([0.25640511, 0.10227191])"
1948,Ugt86Dg,Ugt86Dg,"array([ 0.2718167 , -0.14728961])"
1949,CG1332,CG1332,"array([-0.3494236 ,  1.12798055])"
1950,\"l(2)k09913\",\"l(2)k09913\","array([-0.13414668,  0.42397896])"
1951,CG13322,CG13322,"array([-0.05867019,  1.03007409])"
1952,dec-1,dec-1,"array([-0.24017957,  1.21895853])"
1953,CG4972,CG4972,"array([0.17980035, 1.18302852])"
1954,cul-4,cul-4,"array([-0.08440197,  1.09582915])"
1955,CG13332,CG13332,"array([0.06339756, 1.4885505 ])"
1956,w,w,"array([0.087269  , 1.09195236])"
1957,CG42807,CG42807,"array([0.35042436, 1.47715002])"
1958,Jheh3,Jheh3,"array([0.36759298, 1.35129905])"
1959,bi,bi,"array([0.25527433, 1.14036257])"
1960,CG13337,CG13337,"array([0.21630078, 0.49039206])"
1961,CG30480,CG30480,"array([0.28245708, 0.63687294])"
1962,SmB,SmB,"array([0.20264953, 0.77565491])"
1963,CG13339,CG13339,"array([-0.30371182,  1.06152971])"
1964,GstE7,GstE7,"array([-0.01966014,  1.07630159])"
1965,CG13340,CG13340,"array([-0.47352682,  1.444534  ])"
1966,Ptp4E,Ptp4E,"array([-0.25247476,  1.26409026])"
1967,CG13343,CG13343,"array([0.52590038, 0.98804577])"
1968,CG13407,CG13407,"array([0.67732061, 0.95037176])"
1969,aralar1,aralar1,"array([0.51729657, 0.99789791])"
1970,APP-BP1,APP-BP1,"array([0.66575745, 0.84031592])"
1971,CG13344,CG13344,"array([-0.1233721 ,  0.97591819])"
1972,eff,eff,"array([0.14121742, 0.9261186 ])"
1973,Aats-phe,Aats-phe,"array([0.03039548, 0.66508989])"
1974,CG13889,CG13889,"array([-0.29922724,  0.73272358])"
1975,CG15262,CG15262,"array([0.63516655, 1.05695135])"
1976,CG6789,CG6789,"array([0.84539625, 0.83554414])"
1977,CG13362,CG13362,"array([-0.14868669,  0.69167775])"
1978,squ,squ,"array([0.06314357, 0.8699856 ])"
1979,CG13366,CG13366,"array([0.16343653, 0.95590271])"
1980,Sgf11,Sgf11,"array([0.08937087, 0.83037891])"
1981,\"e(y)2b\",\"e(y)2b\","array([0.12088587, 0.70511741])"
1982,CG13384,CG13384,"array([0.02147516, 0.41329551])"
1983,Pde9,Pde9,"array([0.32135686, 0.30360547])"
1984,emb,emb,"array([0.35896557, 0.94565946])"
1985,CG14135,CG14135,"array([0.70725559, 1.11695297])"
1986,Gr43b,Gr43b,"array([0.28066287, 1.41627693])"
1987,cindr,cindr,"array([0.17917985, 1.02123627])"
1988,CG42820,CG42820,"array([-0.01997126,  0.99099487])"
1989,CAP,CAP,"array([-0.16659988,  0.76251054])"
1990,CG14362,CG14362,"array([0.96525969, 1.01128124])"
1991,CG17782,CG17782,"array([0.99432513, 0.96144856])"
1992,Cyp9b2,Cyp9b2,"array([0.60625225, 1.15411858])"
1993,membrin,membrin,"array([0.47533196, 1.04344047])"
1994,CG5976,CG5976,"array([0.92731086, 0.90133682])"
1995,CG7024,CG7024,"array([0.99476715, 0.937414  ])"
1996,CG7309,CG7309,"array([0.97296291, 0.98589444])"
1997,mRpL35,mRpL35,"array([0.91761119, 1.62082038])"
1998,CG15754,CG15754,"array([0.7543139 , 1.46339057])"
1999,Cby,Cby,"array([-0.36482965,  0.49239736])"
2000,CG15576,CG15576,"array([-0.00671119,  0.67477217])"
2001,bl,bl,"array([0.27249327, 1.1194734 ])"
2002,ps,ps,"array([0.02096791, 1.00637225])"
2003,\"l(2)05510\",\"l(2)05510\","array([0.04043208, 0.98150801])"
2004,CG31547,CG31547,"array([-0.21344073,  1.27550534])"
2005,CG15728,CG15728,"array([-0.3019829 ,  0.38130549])"
2006,CG1344,CG1344,"array([0.09557462, 1.61088619])"
2007,CG13454,CG13454,"array([-0.28531322,  0.76188798])"
2008,mRpS26,mRpS26,"array([0.15930222, 0.61020626])"
2009,CG1347,CG1347,"array([-0.02530071,  0.28502662])"
2010,CG13474,CG13474,"array([0.23947395, 0.84991947])"
2011,pallidin,pallidin,"array([0.02567033, 0.70226668])"
2012,MED9,MED9,"array([0.20248256, 0.79610091])"
2013,HGTX,HGTX,"array([0.71961436, 0.68813422])"
2014,CHOp24,CHOp24,"array([0.55950251, 0.63664889])"
2015,CG13476,CG13476,"array([0.14125219, 0.8018762 ])"
2016,CG17744,CG17744,"array([-0.00135979,  0.64473175])"
2017,CG34404,CG34404,"array([0.2487944 , 0.72849125])"
2018,Dmn,Dmn,"array([0.28309678, 0.96851384])"
2019,CG9418,CG9418,"array([0.26267674, 0.79606044])"
2020,Cap,Cap,"array([-0.19846963,  0.75097812])"
2021,\"l(2)06496\",\"l(2)06496\","array([0.2783747 , 0.81643417])"
2022,CG13488,CG13488,"array([-0.03393209,  0.58352133])"
2023,CG18764,CG18764,"array([0.00398232, 0.65159732])"
2024,CG13494,CG13494,"array([0.78507353, 1.22803748])"
2025,Scamp,Scamp,"array([0.48621246, 1.03081709])"
2026,CG13502,CG13502,"array([-0.16008488,  0.67055916])"
2027,Sry-alpha,Sry-alpha,"array([0.19378205, 0.69136467])"
2028,CG32706,CG32706,"array([-0.02988748,  0.41753339])"
2029,Vrp1,Vrp1,"array([0.27940715, 1.24231131])"
2030,dock,dock,"array([0.22805564, 0.97285348])"
2031,CG34205,CG34205,"array([0.3289245 , 0.64133936])"
2032,Nf-YA,Nf-YA,"array([0.19688313, 0.81697967])"
2033,CG13510,CG13510,"array([0.07394848, 0.79063529])"
2034,CG15403,CG15403,"array([-0.34837181,  0.80624886])"
2035,boi,boi,"array([0.2627901 , 0.76954231])"
2036,CG13731,CG13731,"array([0.08063569, 0.73506823])"
2037,epsilonTry,epsilonTry,"array([-0.01122458,  0.25725397])"
2038,CG31245,CG31245,"array([-0.14511449,  0.51344805])"
2039,CG42565,CG42565,"array([0.0531478, 0.8321405])"
2040,CG3916,CG3916,"array([-0.3544747 ,  1.00908601])"
2041,Obp58c,Obp58c,"array([-0.20181667,  0.38553569])"
2042,asrij,asrij,"array([0.55413284, 0.72822279])"
2043,CG14186,CG14186,"array([0.83577991, 0.65697127])"
2044,CG6293,CG6293,"array([0.2909842 , 0.86046137])"
2045,Arf79F,Arf79F,"array([0.37599458, 0.9295179 ])"
2046,CG13541,CG13541,"array([0.05261601, 1.01035277])"
2047,CG13544,CG13544,"array([-0.14816335,  0.85160487])"
2048,CG5024,CG5024,"array([-0.36294531,  0.77401332])"
2049,CG8671,CG8671,"array([0.85606069, 0.72342511])"
2050,CG13551,CG13551,"array([0.53489302, 0.52377038])"
2051,Vha100-2,Vha100-2,"array([0.27147244, 0.69928749])"
2052,CG13567,CG13567,"array([0.34340995, 1.10507945])"
2053,CG18616,CG18616,"array([0.45331594, 1.01771326])"
2054,eIF5,eIF5,"array([0.52822311, 1.20736272])"
2055,cact,cact,"array([0.18562178, 0.92326219])"
2056,Crtp,Crtp,"array([-0.03326876,  0.64748824])"
2057,odd,odd,"array([0.09359504, 0.69314878])"
2058,CG13581,CG13581,"array([0.8213213 , 1.08193561])"
2059,HP6,HP6,"array([0.48411816, 0.97787444])"
2060,CG13587,CG13587,"array([0.21981212, 0.34621483])"
2061,CG9027,CG9027,"array([0.06380429, 0.74446288])"
2062,CG42360,CG42360,"array([-0.03274547,  0.5511702 ])"
2063,Set,Set,"array([0.04499067, 0.47285975])"
2064,CG13599,CG13599,"array([0.49026855, 0.65658866])"
2065,Gip,Gip,"array([0.25264878, 0.7216283 ])"
2066,CG13604,CG13604,"array([0.06555104, 0.32339868])"
2067,CG5157,CG5157,"array([-0.03468226, -0.07086458])"
2068,CG13609,CG13609,"array([-0.41841466,  0.70358118])"
2069,CG42299,CG42299,"array([-0.07854841,  0.75891095])"
2070,CG8552,CG8552,"array([-0.70209519,  0.62988582])"
2071,Anp,Anp,"array([0.98258807, 0.68725768])"
2072,CG13617,CG13617,"array([0.56945785, 0.83742343])"
2073,\"l(2)06225\",\"l(2)06225\","array([0.34778529, 0.85678896])"
2074,CG13622,CG13622,"array([-0.12920663,  0.47942449])"
2075,Hn,Hn,"array([0.10500125, 0.62476179])"
2076,CG13624,CG13624,"array([0.22177538, 0.54120663])"
2077,CG13625,CG13625,"array([-0.01229889,  0.79790106])"
2078,CG13627,CG13627,"array([-0.02723398,  0.82536547])"
2079,CG14786,CG14786,"array([0.1429732 , 0.57909534])"
2080,Rpb10,Rpb10,"array([-0.28053319,  0.96567358])"
2081,blow,blow,"array([-0.07221965,  0.77168967])"
2082,Crk,Crk,"array([-0.10369648,  0.71051904])"
2083,CG13631,CG13631,"array([-0.22278225,  0.61697903])"
2084,CG42331,CG42331,"array([-0.25029996,  0.80097403])"
2085,CG13636,CG13636,"array([0.58764586, 1.17139802])"
2086,Karl,Karl,"array([0.80080057, 1.3880451 ])"
2087,CG7886,CG7886,"array([0.49713907, 1.19482528])"
2088,Nmnat,Nmnat,"array([0.31656176, 1.25150208])"
2089,danr,danr,"array([0.10194152, 0.64439371])"
2090,CheA87a,CheA87a,"array([-0.25215399,  0.46771483])"
2091,CG13659,CG13659,"array([0.70200039, 1.60137935])"
2092,CG14213,CG14213,"array([0.52632785, 1.38602118])"
2093,CG13667,CG13667,"array([0.21891945, 1.30143164])"
2094,\"l(2)35Bg\",\"l(2)35Bg\","array([0.37168573, 1.24451775])"
2095,CG13678,CG13678,"array([-0.21874202,  0.81840982])"
2096,CG1368,CG1368,"array([-0.09622982,  0.75710232])"
2097,RfC38,RfC38,"array([-0.0654837 ,  0.92646253])"
2098,CG7080,CG7080,"array([0.0316781 , 0.70116474])"
2099,Ipk2,Ipk2,"array([-0.12982528,  0.92958626])"
2100,CG14538,CG14538,"array([-0.49380834,  1.07643763])"
2101,FucT6,FucT6,"array([-0.41941269,  1.1471927 ])"
2102,CG6512,CG6512,"array([-0.46687634,  1.10404784])"
2103,CG13699,CG13699,"array([ 0.26865485, -0.01833152])"
2104,CG14101,CG14101,"array([0.20797907, 0.28701276])"
2105,CG13700,CG13700,"array([-0.0196201 ,  0.67292204])"
2106,Fit1,Fit1,"array([0.25496007, 0.45870747])"
2107,CG8683,CG8683,"array([0.18954036, 0.85353144])"
2108,CG6707,CG6707,"array([0.03771484, 0.85140437])"
2109,CG13707,CG13707,"array([0.69776406, 0.99865284])"
2110,SsRbeta,SsRbeta,"array([0.46443709, 0.97674442])"
2111,CG13708,CG13708,"array([0.35023264, 0.34452155])"
2112,yl,yl,"array([-0.24838409,  0.88362961])"
2113,CG3711,CG3711,"array([-0.28991074,  1.07987377])"
2114,CG13720,CG13720,"array([-0.44139797,  1.15904   ])"
2115,CG3493,CG3493,"array([-0.08550172,  0.98974261])"
2116,Or74a,Or74a,"array([-0.27068355,  0.3471851 ])"
2117,CG17186,CG17186,"array([0.01679042, 0.62600064])"
2118,CG13733,CG13733,"array([0.04557828, 0.55285693])"
2119,CG15059,CG15059,"array([-0.06875439,  0.369488  ])"
2120,CG3342,CG3342,"array([0.00566067, 0.74425413])"
2121,CG13737,CG13737,"array([0.15465402, 0.41461782])"
2122,aru,aru,"array([0.13503727, 0.71383409])"
2123,tsh,tsh,"array([0.14879468, 0.96654725])"
2124,CG13747,CG13747,"array([-0.45441169,  1.55806399])"
2125,CG13776,CG13776,"array([0.70918128, 1.01978591])"
2126,CG4546,CG4546,"array([0.53496883, 0.88972784])"
2127,CG13779,CG13779,"array([0.37251541, 0.60236142])"
2128,\"l(2)k01209\",\"l(2)k01209\","array([0.2284777 , 0.95866244])"
2129,CG6569,CG6569,"array([0.12159308, 0.68726493])"
2130,PCID2,PCID2,"array([0.68509359, 0.60819859])"
2131,CG15478,CG15478,"array([0.10788035, 0.34081821])"
2132,Gr28b,Gr28b,"array([0.59107356, 0.1959544 ])"
2133,RpL22-like,RpL22-like,"array([0.4017661 , 0.48414916])"
2134,DmsR-2,DmsR-2,"array([-0.50991612,  1.10905532])"
2135,CG15479,CG15479,"array([-0.17315164,  0.99157849])"
2136,CG13813,CG13813,"array([-0.20849749,  0.44051534])"
2137,RpL3,RpL3,"array([0.08960938, 0.75318108])"
2138,CG13830,CG13830,"array([0.11613782, 1.07229601])"
2139,CG17086,CG17086,"array([0.11448244, 0.96734748])"
2140,CG13838,CG13838,"array([0.14365132, 0.91792638])"
