# index, name, code, _pos
1312,Ennsdorf <30508>,GRBEZAKT-305,"array([-2.48611225,  2.37559858])"
1313,Haidershofen <30515>,GRBEZAKT-305,"array([-2.48617729,  2.3737168 ])"
1314,Viehdorf <30536>,GRBEZAKT-305,"array([-2.47335148,  2.36262419])"
1315,Weistrach <30539>,GRBEZAKT-305,"array([-2.4816044 ,  2.36690503])"
1316,Wolfsbach <30542>,GRBEZAKT-305,"array([-2.47585706,  2.36646206])"
1317,Zeillern <30544>,GRBEZAKT-305,"array([-2.47202752,  2.36044746])"
1318,Dorfstetten <31506>,GRBEZAKT-315,"array([-2.45992912,  2.35167317])"
1319,Golling an der Erlauf <31509>,GRBEZAKT-315,"array([-2.48216317,  2.35507269])"
1320,Nöchling <31528>,GRBEZAKT-315,"array([-2.47145876,  2.35645889])"
1321,Petzenkirchen <31531>,GRBEZAKT-315,"array([-2.48415504,  2.35829449])"
1322,Ruprechtshofen <31537>,GRBEZAKT-315,"array([-2.48710097,  2.35863869])"
1323,Schönbühel-Aggsbach <31542>,GRBEZAKT-315,"array([-2.48550282,  2.35301181])"
1324,Yspertal <31552>,GRBEZAKT-315,"array([-2.48297334,  2.35700288])"
1325,Laab im Walde <31714>,GRBEZAKT-317,"array([-2.49657647,  2.37151825])"
1326,Steinakirchen am Forst <32014>,GRBEZAKT-320,"array([-2.48397999,  2.35564486])"
1327,Wang <32015>,GRBEZAKT-320,"array([-2.4690019 ,  2.35585664])"
1328,Wolfpassing <32018>,GRBEZAKT-320,"array([-2.4747764 ,  2.36011187])"
1329,Grein <41105>,GRBEZAKT-411,"array([-2.48066076,  2.37233788])"
1330,Ried in der Riedmark <41118>,GRBEZAKT-411,"array([-2.48077512,  2.37577549])"
1331,Sankt Nikola an der Donau <41121>,GRBEZAKT-411,"array([-2.48916482,  2.37288641])"
1332,Saxen <41123>,GRBEZAKT-411,"array([-2.47585686,  2.36953159])"
1333,Waldhausen im Strudengau <41125>,GRBEZAKT-411,"array([-2.48311232,  2.36918528])"
1334,Windhaag bei Perg <41126>,GRBEZAKT-411,"array([-2.47167766,  2.37094256])"
1335,Sankt Martin im Innkreis <41228>,GRBEZAKT-412,"array([-2.47722122,  2.40331948])"
1336,Sankt Martin im Mühlkreis <41332>,GRBEZAKT-413,"array([-2.47455777,  2.3853465 ])"
1337,Dietach <41504>,GRBEZAKT-415,"array([-2.49750939,  2.37898537])"
1338,Großraming <41507>,GRBEZAKT-415,"array([-2.48404703,  2.37294993])"
1339,Engerwitzdorf <41605>,GRBEZAKT-416,"array([-2.48788172,  2.38536845])"
1340,Kirchschlag bei Linz <41613>,GRBEZAKT-416,"array([-2.47914653,  2.38247043])"
1341,Attersee am Attersee <41702>,GRBEZAKT-417,"array([-2.48957734,  2.39495061])"
1342,Ludersdorf-Wilfersdorf <61727>,GRBEZAKT-617,"array([-2.55066761,  2.38056681])"
1343,Strass im Zillertal <70930>,GRBEZAKT-709,"array([-2.51641854,  2.4349391 ])"
1344,Groß Gerungs <32508>,GRBEZAKT-325,"array([-2.49528897,  2.3603814 ])"
1345,Pregarten <40614>,GRBEZAKT-406,"array([-2.48386461,  2.37958534])"
1346,Ernsthofen <30509>,GRBEZAKT-305,"array([-2.48181344,  2.37368115])"
1347,Pfarrkirchen im Mühlkreis <41327>,GRBEZAKT-413,"array([-2.45889577,  2.39327748])"
1348,Aschach an der Steyr <41502>,GRBEZAKT-415,"array([-2.48312834,  2.39139772])"
1349,Sankt Ulrich bei Steyr <41514>,GRBEZAKT-415,"array([-2.49948312,  2.38200327])"
1350,Waldneukirchen <41518>,GRBEZAKT-415,"array([-2.48059675,  2.38880018])"
1351,Wolfern <41521>,GRBEZAKT-415,"array([-2.48740707,  2.37394634])"
1352,Sattledt <41817>,GRBEZAKT-418,"array([-2.48778372,  2.39806402])"
1353,Emmersdorf an der Donau <31553>,GRBEZAKT-315,"array([-2.48796335,  2.36272776])"
1354,Asten <41003>,GRBEZAKT-410,"array([-2.49530538,  2.38000771])"
1355,Hofkirchen im Traunkreis <41008>,GRBEZAKT-410,"array([-2.48123625,  2.37845486])"
1356,Katsdorf <41106>,GRBEZAKT-411,"array([-2.47933944,  2.38678624])"
1357,Naarn im Machlande <41114>,GRBEZAKT-411,"array([-2.48513218,  2.36991365])"
1358,Schwertberg <41124>,GRBEZAKT-411,"array([-2.48943036,  2.3751036 ])"
1359,Diersbach <41404>,GRBEZAKT-414,"array([-2.47724748,  2.41445164])"
1360,Adnet <50202>,GRBEZAKT-502,"array([-2.5126403 ,  2.39798162])"
1361,Michaelnbach <40815>,GRBEZAKT-408,"array([-2.45966683,  2.39584684])"
1362,Schiedlberg <41515>,GRBEZAKT-415,"array([-2.47029436,  2.37182724])"
1363,Maria Neustift <41510>,GRBEZAKT-415,"array([-2.47123066,  2.36638346])"
1364,Wartberg ob der Aist <40624>,GRBEZAKT-406,"array([-2.48315412,  2.37792935])"
1365,Losenstein <41509>,GRBEZAKT-415,"array([-2.48966418,  2.3775038 ])"
1366,Ottenschlag im Mühlkreis <41616>,GRBEZAKT-416,"array([-2.45283496,  2.36579903])"
1367,Walding <41626>,GRBEZAKT-416,"array([-2.47987216,  2.38435412])"
1368,Holzhausen <41809>,GRBEZAKT-418,"array([-2.46909834,  2.37408587])"
1369,Hinterstoder <40903>,GRBEZAKT-409,"array([-2.47255362,  2.39374289])"
1370,Laussa <41508>,GRBEZAKT-415,"array([-2.46711285,  2.377476  ])"
1371,Opponitz <30524>,GRBEZAKT-305,"array([-2.48574086,  2.36041171])"
1372,Sankt Georgen am Reith <30526>,GRBEZAKT-305,"array([-2.46761722,  2.35070683])"
1373,Tattendorf <30636>,GRBEZAKT-306,"array([-2.53558268,  2.36424985])"
1374,Sankt Thomas am Blasenstein <41122>,GRBEZAKT-411,"array([-2.45902653,  2.36248253])"
1375,Hofamt Priel <31511>,GRBEZAKT-315,"array([-2.47954585,  2.35604767])"
1376,Ternberg <41517>,GRBEZAKT-415,"array([-2.48656939,  2.38204959])"
1377,Sankt Marien <41020>,GRBEZAKT-410,"array([-2.4879509 ,  2.38057147])"
1378,Thüringen <80126>,GRBEZAKT-801,"array([-2.54001361,  2.41044172])"
1379,Allerheiligen im Mühlkreis <41101>,GRBEZAKT-411,"array([-2.4671383 ,  2.37096641])"
1380,Münzbach <41113>,GRBEZAKT-411,"array([-2.4723793 ,  2.37343464])"
1381,Nußbach <40910>,GRBEZAKT-409,"array([-2.48158213,  2.38977124])"
1382,Ried im Traunkreis <40913>,GRBEZAKT-409,"array([-2.48427461,  2.39535706])"
1383,Ebbs <70508>,GRBEZAKT-705,"array([-2.51759092,  2.41608318])"
1384,Altmünster <40701>,GRBEZAKT-407,"array([-2.49876628,  2.38713967])"
1385,Piberbach <41018>,GRBEZAKT-410,"array([-2.47598608,  2.38431979])"
1386,Baumgartenberg <41103>,GRBEZAKT-411,"array([-2.47771116,  2.37034405])"
1387,Pabneukirchen <41115>,GRBEZAKT-411,"array([-2.4654355 ,  2.37104467])"
1388,Schärding <41422>,GRBEZAKT-414,"array([-2.4889916 ,  2.39927107])"
1389,Stans <70928>,GRBEZAKT-709,"array([-2.51952669,  2.42171525])"
1390,Zeiselmauer-Wolfpassing <32140>,GRBEZAKT-321,"array([-2.49748651,  2.36285885])"
1391,Sankt Peter am Wimberg <41334>,GRBEZAKT-413,"array([-2.45800764,  2.38237398])"
1392,Koblach <80410>,GRBEZAKT-804,"array([-2.52921527,  2.41038593])"
1393,Weikendorf <30860>,GRBEZAKT-308,"array([-2.52508866,  2.35505223])"
1394,Judenau-Baumgarten <32112>,GRBEZAKT-321,"array([-2.50103983,  2.37145103])"
1395,Helpfau-Uttendorf <40413>,GRBEZAKT-404,"array([-2.4908675 ,  2.40843202])"
1396,Sankt Oswald bei Freistadt <40618>,GRBEZAKT-406,"array([-2.47421365,  2.37084422])"
1397,Landl <61258>,GRBEZAKT-612,"array([-2.50725204,  2.38393882])"
1398,Gutau <40603>,GRBEZAKT-406,"array([-2.47728128,  2.37424801])"
1399,Königswiesen <40608>,GRBEZAKT-406,"array([-2.47136989,  2.36844827])"
1400,Herrnbaumgarten <31621>,GRBEZAKT-316,"array([-2.51150076,  2.33782329])"
1401,Münzkirchen <41413>,GRBEZAKT-414,"array([-2.48211563,  2.41368026])"
1402,Kautzen <32210>,GRBEZAKT-322,"array([-2.49363981,  2.36411916])"
1403,Bildstein <80205>,GRBEZAKT-802,"array([-2.54790775,  2.41842366])"
1404,Annaberg <31401>,GRBEZAKT-314,"array([-2.50635563,  2.3514543 ])"
1405,Drösing <30810>,GRBEZAKT-308,"array([-2.50671245,  2.34571033])"
1406,Maria Alm am Steinernen Meer <50612>,GRBEZAKT-506,"array([-2.49721676,  2.41349894])"
1407,Zwölfaxing <30741>,GRBEZAKT-307,"array([-2.52716784,  2.37142604])"
1408,Großdietmanns <30909>,GRBEZAKT-309,"array([-2.49356303,  2.34849719])"
1409,Tullnerbach <31953>,GRBEZAKT-319,"array([-2.51414569,  2.38207891])"
1410,Gießhübl <31707>,GRBEZAKT-317,"array([-2.50664877,  2.37092522])"
1411,Großgmain <50315>,GRBEZAKT-503,"array([-2.50335541,  2.39341391])"
1412,Furth an der Triesting <30609>,GRBEZAKT-306,"array([-2.50927162,  2.33857241])"
1413,Moorbad Harbach <30913>,GRBEZAKT-309,"array([-2.4858941 ,  2.33576755])"
1414,Hochleithen <31622>,GRBEZAKT-316,"array([-2.51157333,  2.34682239])"
1415,Schwarzenau <32524>,GRBEZAKT-325,"array([-2.49662813,  2.3454454 ])"
1416,Maria Schmolln <40420>,GRBEZAKT-404,"array([-2.48018319,  2.41834133])"
1417,Bad Goisern am Hallstättersee <40702>,GRBEZAKT-407,"array([-2.50195947,  2.38855953])"
1418,Utzenaich <41233>,GRBEZAKT-412,"array([-2.48150412,  2.40561589])"
1419,Mondsee <41715>,GRBEZAKT-417,"array([-2.49942516,  2.39396805])"
1420,Leogang <50609>,GRBEZAKT-506,"array([-2.50379037,  2.40961208])"
1421,Aigen im Ennstal <61203>,GRBEZAKT-612,"array([-2.50900615,  2.3859943 ])"
1422,Oberwölz  <61440>,GRBEZAKT-614,"array([-2.53003068,  2.38292765])"
1423,Hofstätten an der Raab <61719>,GRBEZAKT-617,"array([-2.55169384,  2.38219266])"
1424,Sankt Jakob im Walde <62242>,GRBEZAKT-622,"array([-2.55874782,  2.35555659])"
1425,Mils <70329>,GRBEZAKT-703,"array([-2.51499834,  2.4106238 ])"
1426,Elmen <70809>,GRBEZAKT-708,"array([-2.538738 ,  2.4533206])"
1427,Pill <70921>,GRBEZAKT-709,"array([-2.52737777,  2.42924861])"
1428,Hernstein <30614>,GRBEZAKT-306,"array([-2.52964632,  2.37381376])"
1429,Großschönau <30912>,GRBEZAKT-309,"array([-2.48524095,  2.33987747])"
1430,Röthis <80416>,GRBEZAKT-804,"array([-2.53816795,  2.41106615])"
1431,Moosbrunn <30737>,GRBEZAKT-307,"array([-2.51025551,  2.36006153])"
1432,Altlichtenwarth <31601>,GRBEZAKT-316,"array([-2.51078318,  2.33500989])"
1433,Strobl <50336>,GRBEZAKT-503,"array([-2.50416092,  2.38540178])"
1434,Pfaffenschlag bei Waidhofen a.d.Thaya<32214>,GRBEZAKT-322,"array([-2.48793229,  2.33399061])"
1435,Hagenbrunn <31206>,GRBEZAKT-312,"array([-2.50071448,  2.36727841])"
1436,Brand-Laaben <31904>,GRBEZAKT-319,"array([-2.49291932,  2.37071408])"
1437,Neustift-Innermanzing <31927>,GRBEZAKT-319,"array([-2.496059  ,  2.36423963])"
1438,Matzen-Raggendorf <30838>,GRBEZAKT-308,"array([-2.51138165,  2.35842708])"
1439,Sarleinsbach <41338>,GRBEZAKT-413,"array([-2.46554185,  2.38007948])"
1440,Sankt Ulrich am Pillersee <70417>,GRBEZAKT-704,"array([-2.50165237,  2.42053439])"
1441,Mattsee <50323>,GRBEZAKT-503,"array([-2.49917397,  2.4029177 ])"
1442,Angern an der March <30803>,GRBEZAKT-308,"array([-2.51294727,  2.35923748])"
1443,Innerbraz <80111>,GRBEZAKT-801,"array([-2.54481389,  2.41834546])"
1444,Röhrenbach <31119>,GRBEZAKT-311,"array([-2.49966292,  2.32412644])"
1445,Stams <70221>,GRBEZAKT-702,"array([-2.50348749,  2.42669782])"
1446,Sankt Veit in der Südsteiermark <61060>,GRBEZAKT-610,"array([-2.54294018,  2.38471272])"
1447,Oberndorf in Tirol <70413>,GRBEZAKT-704,"array([-2.51006107,  2.40887734])"
1448,Westendorf <70420>,GRBEZAKT-704,"array([-2.52106656,  2.41319321])"
1449,Hohenwarth-Mühlbach a.M. <31021>,GRBEZAKT-310,"array([-2.50829697,  2.34226122])"
1450,Altenberg bei Linz <41602>,GRBEZAKT-416,"array([-2.48482792,  2.37828316])"
1451,Raasdorf <30849>,GRBEZAKT-308,"array([-2.52282348,  2.33854208])"
1452,Sankt Marein-Feistritz <62045>,GRBEZAKT-620,"array([-2.53054437,  2.39001759])"
1453,Mehrnbach <41214>,GRBEZAKT-412,"array([-2.48027691,  2.4070936 ])"
1454,Wundschuh <60656>,GRBEZAKT-606,"array([-2.54949588,  2.39994602])"
1455,Edelsbach bei Feldbach <62311>,GRBEZAKT-623,"array([-2.56077862,  2.39087675])"
1456,Oberhofen im Inntal <70335>,GRBEZAKT-703,"array([-2.5011742 ,  2.42437064])"
1457,Hohenweiler <80219>,GRBEZAKT-802,"array([-2.54666441,  2.409523  ])"
1458,Schlins <80418>,GRBEZAKT-804,"array([-2.53722341,  2.40670342])"
1459,Roßleithen <40915>,GRBEZAKT-409,"array([-2.48639898,  2.39496531])"
1460,Krottendorf-Gaisfeld <61611>,GRBEZAKT-616,"array([-2.54566237,  2.39065471])"
1461,Rohr im Gebirge <32324>,GRBEZAKT-323,"array([-2.5216539 ,  2.32881821])"
1462,Bad Pirawarth <30805>,GRBEZAKT-308,"array([-2.51232755,  2.3487539 ])"
1463,Rauchenwarth <30738>,GRBEZAKT-307,"array([-2.52068274,  2.38049805])"
1464,Lichtenberg <41614>,GRBEZAKT-416,"array([-2.4816309 ,  2.38666826])"
1465,Haringsee <30825>,GRBEZAKT-308,"array([-2.52949611,  2.34528832])"
1466,Prutz <70619>,GRBEZAKT-706,"array([-2.51762148,  2.43322809])"
1467,Ebenthal <30812>,GRBEZAKT-308,"array([-2.52446542,  2.34041934])"
1468,Kreuttal <31627>,GRBEZAKT-316,"array([-2.5095087 ,  2.35350383])"
1469,Stanz im Mürztal <62132>,GRBEZAKT-621,"array([-2.51790493,  2.38258621])"
1470,Sankt Agatha <40824>,GRBEZAKT-408,"array([-2.46940391,  2.40503334])"
1471,Sankt Martin bei Lofer <50620>,GRBEZAKT-506,"array([-2.49732401,  2.42178676])"
1472,Gaweinstal <31612>,GRBEZAKT-316,"array([-2.51264365,  2.35664914])"
1473,Auersthal <30804>,GRBEZAKT-308,"array([-2.50850527,  2.35103051])"
1474,Schrattenberg <31646>,GRBEZAKT-316,"array([-2.5109939 ,  2.33261494])"
1475,Feistritztal <62266>,GRBEZAKT-622,"array([-2.55183221,  2.37232226])"
1476,Ludesch <80115>,GRBEZAKT-801,"array([-2.53780955,  2.40973081])"
1477,Leitzersdorf <31215>,GRBEZAKT-312,"array([-2.52595183,  2.34690847])"
1478,Niederleis <31636>,GRBEZAKT-316,"array([-2.53484928,  2.35541758])"
1479,Grünau im Almtal <40707>,GRBEZAKT-407,"array([-2.4860772 ,  2.39727323])"
1480,Sankt Georgen an der Leys <32012>,GRBEZAKT-320,"array([-2.47047737,  2.34968288])"
1481,Palterndorf-Dobermannsdorf <30845>,GRBEZAKT-308,"array([-2.51626391,  2.34569166])"
1482,Litschau <30925>,GRBEZAKT-309,"array([-2.50206661,  2.35775034])"
1483,Heldenberg <31019>,GRBEZAKT-310,"array([-2.50273379,  2.34059376])"
1484,Otterthal <31820>,GRBEZAKT-318,"array([-2.55164082,  2.3460375 ])"
1485,Sankt Aegidi <41417>,GRBEZAKT-414,"array([-2.46333623,  2.40926194])"
1486,Aderklaa <30801>,GRBEZAKT-308,"array([-2.52292504,  2.32132595])"
