# index, name, code, _pos
1522,Großkrut <31617>,GRBEZAKT-316,"array([-2.50641441,  2.34745658])"
1523,Offenhausen <41814>,GRBEZAKT-418,"array([-2.47564227,  2.39762542])"
1524,Stronsdorf <31650>,GRBEZAKT-316,"array([-2.51992376,  2.33978367])"
1525,Zwischenwasser <80424>,GRBEZAKT-804,"array([-2.5359059 ,  2.40457175])"
1526,Buchkirchen <41804>,GRBEZAKT-418,"array([-2.48623498,  2.38934083])"
1527,Großharras <31616>,GRBEZAKT-316,"array([-2.51752804,  2.339485  ])"
1528,Gaubitsch <31611>,GRBEZAKT-316,"array([-2.51355785,  2.32908823])"
1529,Neudorf bei Staatz <31634>,GRBEZAKT-316,"array([-2.50563028,  2.35350669])"
1530,Alberndorf im Pulkautal <31001>,GRBEZAKT-310,"array([-2.51575187,  2.33452433])"
1531,Irnfritz-Messern <31110>,GRBEZAKT-311,"array([-2.50409228,  2.33330917])"
1532,Heidenreichstein <30916>,GRBEZAKT-309,"array([-2.49776853,  2.35953511])"
1533,Eggern <30904>,GRBEZAKT-309,"array([-2.49569734,  2.33268703])"
1534,Unserfrau-Altweitra <30939>,GRBEZAKT-309,"array([-2.47107702,  2.3457284 ])"
1535,Eisgarn <30906>,GRBEZAKT-309,"array([-2.49837345,  2.3315381 ])"
1536,Gastern <32206>,GRBEZAKT-322,"array([-2.4999894 ,  2.33702374])"
1537,Weißbach bei Lofer <50627>,GRBEZAKT-506,"array([-2.52561929,  2.42736913])"
1538,Bad Großpertholz <30910>,GRBEZAKT-309,"array([-2.49265236,  2.35764127])"
1539,Sankt Martin <30932>,GRBEZAKT-309,"array([-2.48549592,  2.34792428])"
1540,Waldenstein <30940>,GRBEZAKT-309,"array([-2.48176935,  2.3393067 ])"
1541,Esternberg <41409>,GRBEZAKT-414,"array([-2.48168663,  2.41109082])"
1542,Ottnang am Hausruck <41722>,GRBEZAKT-417,"array([-2.48787353,  2.39431859])"
1543,Breitenwang <70805>,GRBEZAKT-708,"array([-2.52147047,  2.42948638])"
1544,Polling im Innkreis <40433>,GRBEZAKT-404,"array([-2.47088423,  2.42525199])"
1545,Sankt Leonhard bei Freistadt <40617>,GRBEZAKT-406,"array([-2.46306323,  2.36654047])"
1546,Scharnstein <40719>,GRBEZAKT-407,"array([-2.49444452,  2.39302991])"
1547,Kopfing im Innkreis <41411>,GRBEZAKT-414,"array([-2.47422593,  2.4088135 ])"
1548,Echsenbach <32504>,GRBEZAKT-325,"array([-2.49588638,  2.33806574])"
1549,Wolfsegg am Hausruck <41750>,GRBEZAKT-417,"array([-2.47966738,  2.39779272])"
1550,Albrechtsberg an der Großen Krems <31302>,GRBEZAKT-313,"array([-2.47931813,  2.33921276])"
1551,Haugsdorf <31018>,GRBEZAKT-310,"array([-2.5119219 ,  2.34473055])"
1552,Riefensberg <80231>,GRBEZAKT-802,"array([-2.5552167 ,  2.41490005])"
1553,Retzbach <31038>,GRBEZAKT-310,"array([-2.52308546,  2.34419694])"
1554,Schönbach <32523>,GRBEZAKT-325,"array([-2.47510158,  2.33767391])"
1555,Unken <50623>,GRBEZAKT-506,"array([-2.4980095 ,  2.41638457])"
1556,Niederhollabrunn <31234>,GRBEZAKT-312,"array([-2.52927364,  2.35516877])"
1557,Andorf <41402>,GRBEZAKT-414,"array([-2.48382465,  2.40302929])"
1558,Pernersdorf <31033>,GRBEZAKT-310,"array([-2.50671437,  2.33730627])"
1559,Texingtal <31551>,GRBEZAKT-315,"array([-2.48935116,  2.35889911])"
1560,Grabern <31009>,GRBEZAKT-310,"array([-2.50822163,  2.34435502])"
1561,Burgschleinitz-Kühnring <31103>,GRBEZAKT-311,"array([-2.50875613,  2.33630674])"
1562,Langau <31113>,GRBEZAKT-311,"array([-2.49988402,  2.33295846])"
1563,Stetteldorf am Wagram <31228>,GRBEZAKT-312,"array([-2.50421817,  2.34284248])"
1564,Rottenmann <61263>,GRBEZAKT-612,"array([-2.51475106,  2.38842736])"
1565,Arnfels <61002>,GRBEZAKT-610,"array([-2.5481266 ,  2.38085977])"
1566,Dietmanns <32202>,GRBEZAKT-322,"array([-2.49801061,  2.33954888])"
1567,Unterstinkenbrunn <31652>,GRBEZAKT-316,"array([-2.5098055,  2.3234027])"
1568,Vandans <80129>,GRBEZAKT-801,"array([-2.5289487 ,  2.41404295])"
1569,Tarsdorf <40443>,GRBEZAKT-404,"array([-2.48560877,  2.42134785])"
1570,Sankt Bernhard-Frauenhofen <31123>,GRBEZAKT-311,"array([-2.50202074,  2.33441465])"
1571,Brunn an der Wild <31102>,GRBEZAKT-311,"array([-2.50605248,  2.32803667])"
1572,Meiseldorf <31114>,GRBEZAKT-311,"array([-2.50842857,  2.32997258])"
1573,Japons <31111>,GRBEZAKT-311,"array([-2.51165529,  2.32689121])"
1574,Nußdorf am Attersee <41718>,GRBEZAKT-417,"array([-2.48283763,  2.39519188])"
1575,Schlierbach <40917>,GRBEZAKT-409,"array([-2.48916038,  2.38501268])"
1576,Stetten <31229>,GRBEZAKT-312,"array([-2.52126157,  2.34957014])"
1577,Gaspoltshofen <40806>,GRBEZAKT-408,"array([-2.48024534,  2.39101249])"
1578,Muggendorf <32322>,GRBEZAKT-323,"array([-2.54444528,  2.33591255])"
1579,Mettmach <41215>,GRBEZAKT-412,"array([-2.47805981,  2.40982502])"
1580,Kauns <70612>,GRBEZAKT-706,"array([-2.5073501 ,  2.45616622])"
1581,Sankt Marienkirchen am Hausruck <41227>,GRBEZAKT-412,"array([-2.45755457,  2.40143769])"
1582,Lenzing <41713>,GRBEZAKT-417,"array([-2.49003142,  2.39123425])"
1583,Gunskirchen <41808>,GRBEZAKT-418,"array([-2.48401637,  2.39017389])"
1584,Egg <80211>,GRBEZAKT-802,"array([-2.53936056,  2.41470736])"
1585,Ranten <61441>,GRBEZAKT-614,"array([-2.5333376,  2.4196566])"
1586,Bad Traunstein <32528>,GRBEZAKT-325,"array([-2.48737069,  2.33871533])"
1587,Altheim <40401>,GRBEZAKT-404,"array([-2.48586852,  2.4071136 ])"
1588,Rappottenstein <32521>,GRBEZAKT-325,"array([-2.48841614,  2.34468161])"
1589,Lembach im Mühlkreis <41318>,GRBEZAKT-413,"array([-2.46564668,  2.38386594])"
1590,Pichl bei Wels <41816>,GRBEZAKT-418,"array([-2.47662406,  2.38891262])"
1591,Raxendorf <31535>,GRBEZAKT-315,"array([-2.47155858,  2.34200192])"
1592,Martinsberg <32517>,GRBEZAKT-325,"array([-2.47957417,  2.34179207])"
1593,Filzmoos <50407>,GRBEZAKT-504,"array([-2.51972539,  2.40189109])"
1594,Pierbach <40613>,GRBEZAKT-406,"array([-2.46004673,  2.36750248])"
1595,Innerschwand am Mondsee <41712>,GRBEZAKT-417,"array([-2.49222661,  2.40432158])"
1596,Lambach <41811>,GRBEZAKT-418,"array([-2.48732175,  2.38737219])"
1597,Kleinzell <31406>,GRBEZAKT-314,"array([-2.49244374,  2.34519471])"
1598,Unterach am Attersee <41745>,GRBEZAKT-417,"array([-2.49240017,  2.40051359])"
1599,Kirchschlag <32514>,GRBEZAKT-325,"array([-2.48560736,  2.32729532])"
1600,Loich <31920>,GRBEZAKT-319,"array([-2.47946622,  2.33604543])"
1601,Mutters <70331>,GRBEZAKT-703,"array([-2.51554819,  2.41981961])"
1602,Trattenbach <31841>,GRBEZAKT-318,"array([-2.54957614,  2.33975838])"
1603,Antiesenhofen <41202>,GRBEZAKT-412,"array([-2.46850194,  2.41004284])"
1604,Maria Taferl <31523>,GRBEZAKT-315,"array([-2.47637051,  2.35085417])"
1605,Roitham <40715>,GRBEZAKT-407,"array([-2.48436223,  2.39903818])"
1606,Bärnkopf <32503>,GRBEZAKT-325,"array([-2.46149422,  2.33796543])"
1607,Schottwien <31833>,GRBEZAKT-318,"array([-2.54305384,  2.35570071])"
1608,Engelhartszell <41407>,GRBEZAKT-414,"array([-2.46980835,  2.40077373])"
1609,Franking <40408>,GRBEZAKT-404,"array([-2.48616248,  2.41392867])"
1610,Brandberg <70903>,GRBEZAKT-709,"array([-2.48462986,  2.45760327])"
1611,Ottenschlag <32518>,GRBEZAKT-325,"array([-2.48847508,  2.34173924])"
1612,Mitterberg-Sankt Martin <61261>,GRBEZAKT-612,"array([-2.50816264,  2.38761579])"
1613,Stadl-Paura <41820>,GRBEZAKT-418,"array([-2.48790159,  2.38878046])"
1614,Schwoich <70525>,GRBEZAKT-705,"array([-2.52184132,  2.41909965])"
1615,Sankt Georgen am Walde <41119>,GRBEZAKT-411,"array([-2.4710609 ,  2.37470962])"
1616,Obertraun <40712>,GRBEZAKT-407,"array([-2.4916335,  2.3792657])"
1617,Eitzing <41205>,GRBEZAKT-412,"array([-2.46674128,  2.41068524])"
1618,Jeging <40416>,GRBEZAKT-404,"array([-2.48547661,  2.42444239])"
1619,Fallbach <31609>,GRBEZAKT-316,"array([-2.51707617,  2.33064996])"
1620,Waldbach-Mönichwald <62279>,GRBEZAKT-622,"array([-2.54947903,  2.36629048])"
1621,Falkenstein <31608>,GRBEZAKT-316,"array([-2.53438178,  2.33369647])"
1622,Ottenthal <31658>,GRBEZAKT-316,"array([-2.51515609,  2.32219058])"
1623,Grieskirchen <40808>,GRBEZAKT-408,"array([-2.48386134,  2.39308743])"
1624,Sankt Andrä-Höch <61030>,GRBEZAKT-610,"array([-2.55265588,  2.38886306])"
1625,Vomp <70936>,GRBEZAKT-709,"array([-2.51522543,  2.41609711])"
1626,Aschach an der Donau <40502>,GRBEZAKT-405,"array([-2.47621701,  2.38661171])"
1627,Ramsau im Zillertal <70922>,GRBEZAKT-709,"array([-2.50024609,  2.43550856])"
1628,Palting <40429>,GRBEZAKT-404,"array([-2.48826073,  2.42087112])"
1629,Semriach <60645>,GRBEZAKT-606,"array([-2.5382227 ,  2.37974713])"
1630,Laterns <80411>,GRBEZAKT-804,"array([-2.5567203 ,  2.41750228])"
1631,Puchkirchen am Trattberg <41727>,GRBEZAKT-417,"array([-2.46911196,  2.38996783])"
1632,Kirchham <40710>,GRBEZAKT-407,"array([-2.48734027,  2.3960766 ])"
1633,Mariapfarr <50503>,GRBEZAKT-505,"array([-2.52555433,  2.41583153])"
1634,Reith im Alpbachtal <70522>,GRBEZAKT-705,"array([-2.50562967,  2.41718439])"
1635,Grundlsee <61215>,GRBEZAKT-612,"array([-2.50057003,  2.39228824])"
1636,Semmering <31838>,GRBEZAKT-318,"array([-2.53335258,  2.37537383])"
1637,Mayrhof <41412>,GRBEZAKT-414,"array([-2.45374992,  2.42624116])"
1638,Reichenthal <41620>,GRBEZAKT-416,"array([-2.46208029,  2.37193855])"
1639,Haus <61217>,GRBEZAKT-612,"array([-2.51520413,  2.40354883])"
1640,Altendorf <31801>,GRBEZAKT-318,"array([-2.54582672,  2.33852832])"
1641,Buchbach <31806>,GRBEZAKT-318,"array([-2.55354919,  2.34046986])"
1642,Hollenthon <32312>,GRBEZAKT-323,"array([-2.53004324,  2.33499122])"
1643,Flaurling <70308>,GRBEZAKT-703,"array([-2.51071656,  2.43234063])"
1644,Brand <80105>,GRBEZAKT-801,"array([-2.53390066,  2.42227297])"
1645,Schrattenbach <31834>,GRBEZAKT-318,"array([-2.54159798,  2.33525359])"
1646,Bürg-Vöstenhof <31842>,GRBEZAKT-318,"array([-2.53741633,  2.32347155])"
1647,Lebring-Sankt Margarethen <61021>,GRBEZAKT-610,"array([-2.55033325,  2.38755316])"
1648,Rettenegg <61743>,GRBEZAKT-617,"array([-2.56409623,  2.36724385])"
1649,Spital am Semmering <62131>,GRBEZAKT-621,"array([-2.52512682,  2.37869442])"
1650,Unterweitersdorf <40622>,GRBEZAKT-406,"array([-2.47032704,  2.3874638 ])"
1651,Sankt Lorenzen am Wechsel <62245>,GRBEZAKT-622,"array([-2.5513273 ,  2.35844867])"
1652,Burgkirchen <40405>,GRBEZAKT-404,"array([-2.48805481,  2.40975705])"
1653,Anras <70704>,GRBEZAKT-707,"array([-2.53650737,  2.435306  ])"
1654,Thiersee <70527>,GRBEZAKT-705,"array([-2.52072442,  2.41713751])"
1655,Steinerkirchen an der Traun <41821>,GRBEZAKT-418,"array([-2.47999828,  2.39314234])"
1656,Sankt Margarethen im Lungau <50508>,GRBEZAKT-505,"array([-2.52842943,  2.42305845])"
1657,Schlatt <41736>,GRBEZAKT-417,"array([-2.4731905 ,  2.39504568])"
1658,Sankt Pankraz <40916>,GRBEZAKT-409,"array([-2.4598838 ,  2.37873938])"
1659,Wernstein am Inn <41429>,GRBEZAKT-414,"array([-2.47240226,  2.40653477])"
1660,Sankt Konrad <40716>,GRBEZAKT-407,"array([-2.46812531,  2.38111268])"
1661,Itter <70407>,GRBEZAKT-704,"array([-2.49891126,  2.42601526])"
1662,Obernberg am Inn <41219>,GRBEZAKT-412,"array([-2.47909837,  2.40437808])"
1663,Hagenberg im Mühlkreis <40604>,GRBEZAKT-406,"array([-2.48753226,  2.38422995])"
1664,Treubach <40444>,GRBEZAKT-404,"array([-2.46609554,  2.42191349])"
1665,Schleißheim <41818>,GRBEZAKT-418,"array([-2.47022825,  2.38472633])"
1666,Michaelerberg-Pruggern <61260>,GRBEZAKT-612,"array([-2.52128469,  2.39652554])"
1667,Sankt Stefan im Rosental <62389>,GRBEZAKT-623,"array([-2.54932473,  2.39117943])"
1668,Taxenbach <50622>,GRBEZAKT-506,"array([-2.50413853,  2.39841305])"
1669,Buch in Tirol <70905>,GRBEZAKT-709,"array([-2.50843297,  2.42422834])"
1670,Waldkirchen an der Thaya <32222>,GRBEZAKT-322,"array([-2.48572237,  2.33139895])"
1671,Aspach <40402>,GRBEZAKT-404,"array([-2.47851587,  2.41205109])"
1672,Prägraten am Großvenediger <70723>,GRBEZAKT-707,"array([-2.54035458,  2.4342454 ])"
1673,Waidhofen an der Thaya-Land <32221>,GRBEZAKT-322,"array([-2.49041274,  2.32778593])"
1674,Großgöttfritz <32509>,GRBEZAKT-325,"array([-2.49322754,  2.33500673])"
1675,Langschlag <32516>,GRBEZAKT-325,"array([-2.48073758,  2.35289957])"
1676,Liebenau <40611>,GRBEZAKT-406,"array([-2.46908682,  2.36284151])"
1677,Sankt Margarethen an der Raab <61746>,GRBEZAKT-617,"array([-2.54660685,  2.38600806])"
1678,Ebenau <50307>,GRBEZAKT-503,"array([-2.49793511,  2.39222625])"
1679,Rinn <70345>,GRBEZAKT-703,"array([-2.51011427,  2.42219953])"
1680,Taufkirchen an der Pram <41426>,GRBEZAKT-414,"array([-2.48414257,  2.40849005])"
1681,Schwarzenberg <80236>,GRBEZAKT-802,"array([-2.54724129,  2.41441886])"
1682,Kammern im Liesingtal <61106>,GRBEZAKT-611,"array([-2.53635489,  2.39886913])"
1683,Altmelon <32519>,GRBEZAKT-325,"array([-2.46529875,  2.34634332])"
1684,Oberneukirchen <41615>,GRBEZAKT-416,"array([-2.47210855,  2.37748008])"
1685,Gutenbrunn <32511>,GRBEZAKT-325,"array([-2.47181103,  2.337723  ])"
1686,Lasberg <40609>,GRBEZAKT-406,"array([-2.4693134 ,  2.37690742])"
1687,Pfaffing <41723>,GRBEZAKT-417,"array([-2.48035253,  2.40391905])"
1688,Alberschwende <80201>,GRBEZAKT-802,"array([-2.53782997,  2.41386301])"
1689,Schönau im Mühlkreis <40619>,GRBEZAKT-406,"array([-2.46826179,  2.365681  ])"
1690,Feldkirchen bei Mattighofen <40407>,GRBEZAKT-404,"array([-2.48632931,  2.41684395])"
1691,Gilgenberg am Weilhart <40410>,GRBEZAKT-404,"array([-2.48005889,  2.42343091])"
1692,Handenberg <40412>,GRBEZAKT-404,"array([-2.48104469,  2.42145041])"
1693,Hochburg-Ach <40414>,GRBEZAKT-404,"array([-2.49049463,  2.41471908])"
1694,Moosdorf <40425>,GRBEZAKT-404,"array([-2.48886695,  2.41747629])"
1695,Sankt Johann am Walde <40436>,GRBEZAKT-404,"array([-2.48159435,  2.41628554])"
1696,Sankt Veit im Innkreis <40440>,GRBEZAKT-404,"array([-2.46259446,  2.43029213])"
1697,Schalchen <40441>,GRBEZAKT-404,"array([-2.48879918,  2.40188764])"
1698,Alkoven <40501>,GRBEZAKT-405,"array([-2.48580604,  2.38811157])"
1699,Haibach ob der Donau <40505>,GRBEZAKT-405,"array([-2.46468371,  2.403971  ])"
1700,Hartkirchen <40506>,GRBEZAKT-405,"array([-2.48153533,  2.39647408])"
1701,Hinzenbach <40507>,GRBEZAKT-405,"array([-2.47426697,  2.39931728])"
1702,Prambachkirchen <40508>,GRBEZAKT-405,"array([-2.47830237,  2.39292157])"
1703,Pupping <40509>,GRBEZAKT-405,"array([-2.47326542,  2.39187399])"
1704,Stroheim <40512>,GRBEZAKT-405,"array([-2.46595469,  2.39281685])"
1705,Grünbach <40602>,GRBEZAKT-406,"array([-2.46563431,  2.37510419])"
1706,Hirschbach im Mühlkreis <40605>,GRBEZAKT-406,"array([-2.45827478,  2.37966825])"
1707,Kefermarkt <40607>,GRBEZAKT-406,"array([-2.4736011 ,  2.37561203])"
1708,Leopoldschlag <40610>,GRBEZAKT-406,"array([-2.46117465,  2.3809767 ])"
1709,Neumarkt im Mühlkreis <40612>,GRBEZAKT-406,"array([-2.4763847 ,  2.38023638])"
1710,Sandl <40616>,GRBEZAKT-406,"array([-2.46927682,  2.3677662 ])"
1711,Tragwein <40620>,GRBEZAKT-406,"array([-2.47672166,  2.37230224])"
1712,Unterweißenbach <40621>,GRBEZAKT-406,"array([-2.46607039,  2.36670619])"
1713,Waldburg <40623>,GRBEZAKT-406,"array([-2.46087279,  2.38902324])"
1714,Windhaag bei Freistadt <40626>,GRBEZAKT-406,"array([-2.47481149,  2.37301259])"
1715,Bad Zell <40627>,GRBEZAKT-406,"array([-2.47965032,  2.3744018 ])"
1716,Gschwandt <40708>,GRBEZAKT-407,"array([-2.48603962,  2.38488765])"
1717,Laakirchen <40711>,GRBEZAKT-407,"array([-2.49343169,  2.38951325])"
1718,Aistersheim <40801>,GRBEZAKT-408,"array([-2.46514941,  2.40071827])"
1719,Haag am Hausruck <40809>,GRBEZAKT-408,"array([-2.48410679,  2.40071318])"
1720,Heiligenberg <40810>,GRBEZAKT-408,"array([-2.45130415,  2.39878862])"
1721,Hofkirchen an der Trattnach <40811>,GRBEZAKT-408,"array([-2.46978656,  2.3983438 ])"
1722,Kallham <40812>,GRBEZAKT-408,"array([-2.47442668,  2.39690917])"
1723,Kematen am Innbach <40813>,GRBEZAKT-408,"array([-2.46899973,  2.39232709])"
1724,Meggenhofen <40814>,GRBEZAKT-408,"array([-2.46864794,  2.396492  ])"
1725,Natternbach <40816>,GRBEZAKT-408,"array([-2.47457589,  2.40696965])"
1726,Neumarkt im Hausruckkreis <40818>,GRBEZAKT-408,"array([-2.47389861,  2.40169254])"
1727,Pollham <40821>,GRBEZAKT-408,"array([-2.45822996,  2.38843508])"
1728,Steegen <40828>,GRBEZAKT-408,"array([-2.45865924,  2.40426346])"
1729,Wallern an der Trattnach <40832>,GRBEZAKT-408,"array([-2.48175982,  2.3853042 ])"
1730,Peuerbach <40835>,GRBEZAKT-408,"array([-2.47874694,  2.39929683])"
1731,Oberschlierbach <40911>,GRBEZAKT-409,"array([-2.48112065,  2.37106954])"
1732,Pettenbach <40912>,GRBEZAKT-409,"array([-2.48976936,  2.38759656])"
1733,Wartberg an der Krems <40922>,GRBEZAKT-409,"array([-2.48370202,  2.3826904 ])"
1734,Allhaming <41001>,GRBEZAKT-410,"array([-2.47292165,  2.3789557 ])"
1735,Eggendorf im Traunkreis <41004>,GRBEZAKT-410,"array([-2.46658537,  2.39023043])"
1736,Wilhering <41022>,GRBEZAKT-410,"array([-2.49204638,  2.38081047])"
1737,Dimbach <41104>,GRBEZAKT-411,"array([-2.46172381,  2.35818267])"
1738,Aurolzmünster <41203>,GRBEZAKT-412,"array([-2.48063989,  2.40150034])"
1739,Geiersberg <41206>,GRBEZAKT-412,"array([-2.45787479,  2.41587676])"
1740,Geinberg <41207>,GRBEZAKT-412,"array([-2.47680536,  2.40797725])"
1741,Lambrechten <41212>,GRBEZAKT-412,"array([-2.46401966,  2.41270593])"
1742,Lohnsburg am Kobernaußerwald <41213>,GRBEZAKT-412,"array([-2.47952967,  2.41459813])"
1743,Neuhofen im Innkreis <41218>,GRBEZAKT-412,"array([-2.48425604,  2.40487988])"
1744,Pramet <41223>,GRBEZAKT-412,"array([-2.4658669 ,  2.40728768])"
1745,Reichersberg <41224>,GRBEZAKT-412,"array([-2.4818122 ,  2.40901968])"
1746,Waldzell <41234>,GRBEZAKT-412,"array([-2.47995922,  2.41231129])"
1747,Altenfelden <41304>,GRBEZAKT-413,"array([-2.46948998,  2.37918013])"
1748,Auberg <41307>,GRBEZAKT-413,"array([-2.44926939,  2.3719038 ])"
1749,Haslach an der Mühl <41309>,GRBEZAKT-413,"array([-2.46874682,  2.38580374])"
1750,Hofkirchen im Mühlkreis <41312>,GRBEZAKT-413,"array([-2.46334714,  2.38696194])"
1751,Kirchberg ob der Donau <41314>,GRBEZAKT-413,"array([-2.45549261,  2.37273813])"
1752,Kleinzell im Mühlkreis <41316>,GRBEZAKT-413,"array([-2.46027784,  2.38338328])"
1753,Kollerschlag <41317>,GRBEZAKT-413,"array([-2.45177855,  2.38698156])"
1754,Niederkappel <41322>,GRBEZAKT-413,"array([-2.45039774,  2.38233188])"
1755,Oepping <41325>,GRBEZAKT-413,"array([-2.45626086,  2.37769441])"
1756,Peilstein im Mühlviertel <41326>,GRBEZAKT-413,"array([-2.45416675,  2.38357245])"
1757,Putzleinsdorf <41328>,GRBEZAKT-413,"array([-2.46398409,  2.38224444])"
1758,Neustift im Mühlkreis <41329>,GRBEZAKT-413,"array([-2.45535771,  2.38837224])"
1759,Sankt Johann am Wimberg <41331>,GRBEZAKT-413,"array([-2.45503306,  2.39102189])"
1760,Sankt Ulrich im Mühlkreis <41336>,GRBEZAKT-413,"array([-2.45071142,  2.37804978])"
1761,Sankt Veit im Mühlkreis <41337>,GRBEZAKT-413,"array([-2.45752673,  2.38502223])"
1762,Schwarzenberg am Böhmerwald <41341>,GRBEZAKT-413,"array([-2.44817177,  2.38586507])"
1763,Sankt Stefan Afiesl <41346>,GRBEZAKT-413,"array([-2.45755925,  2.3757914 ])"
1764,Dorf an der Pram <41405>,GRBEZAKT-414,"array([-2.46310849,  2.3996281 ])"
1765,Eggerding <41406>,GRBEZAKT-414,"array([-2.46980494,  2.41911993])"
1766,Sankt Marienkirchen bei Schärding <41419>,GRBEZAKT-414,"array([-2.47607283,  2.41075336])"
1767,Sankt Willibald <41421>,GRBEZAKT-414,"array([-2.46155572,  2.40750009])"
1768,Schardenberg <41423>,GRBEZAKT-414,"array([-2.48427673,  2.41301326])"
1769,Vichtenstein <41427>,GRBEZAKT-414,"array([-2.467143,  2.404651])"
1770,Adlwang <41501>,GRBEZAKT-415,"array([-2.47487897,  2.38259415])"
1771,Rohr im Kremstal <41513>,GRBEZAKT-415,"array([-2.47520654,  2.37518006])"
1772,Eidenberg <41604>,GRBEZAKT-416,"array([-2.47719548,  2.38771959])"
1773,Haibach im Mühlkreis <41610>,GRBEZAKT-416,"array([-2.45765977,  2.3688055 ])"
1774,Reichenau im Mühlkreis <41619>,GRBEZAKT-416,"array([-2.46751979,  2.37355711])"
1775,Sankt Gotthard im Mühlkreis <41621>,GRBEZAKT-416,"array([-2.46446774,  2.37697084])"
1776,Schenkenfelden <41622>,GRBEZAKT-416,"array([-2.46314915,  2.36915911])"
1777,Sonnberg im Mühlkreis <41623>,GRBEZAKT-416,"array([-2.45929024,  2.37183469])"
1778,Zwettl an der Rodl <41627>,GRBEZAKT-416,"array([-2.47502073,  2.37870208])"
1779,Vorderweißenbach <41628>,GRBEZAKT-416,"array([-2.46347254,  2.3842008 ])"
1780,Atzbach <41704>,GRBEZAKT-417,"array([-2.46491371,  2.38913334])"
1781,Desselbrunn <41707>,GRBEZAKT-417,"array([-2.47446084,  2.38802008])"
1782,Fornach <41708>,GRBEZAKT-417,"array([-2.47200163,  2.41389361])"
1783,Manning <41714>,GRBEZAKT-417,"array([-2.4606059 ,  2.38668887])"
1784,Weyregg am Attersee <41749>,GRBEZAKT-417,"array([-2.48336961,  2.38501334])"
1785,Zell am Moos <41751>,GRBEZAKT-417,"array([-2.49113239,  2.40191342])"
1786,Aichkirchen <41801>,GRBEZAKT-418,"array([-2.45580472,  2.3982202 ])"
1787,Bad Wimsbach-Neydharting <41803>,GRBEZAKT-418,"array([-2.4817011 ,  2.38323445])"
1788,Neukirchen bei Lambach <41813>,GRBEZAKT-418,"array([-2.46465101,  2.39796005])"
1789,Sipbachzell <41819>,GRBEZAKT-418,"array([-2.48301964,  2.39692214])"
1790,Steinhaus <41822>,GRBEZAKT-418,"array([-2.47852327,  2.38995301])"
1791,Hallwang <50316>,GRBEZAKT-503,"array([-2.4983615 ,  2.39637914])"
1792,Köstendorf <50320>,GRBEZAKT-503,"array([-2.49552354,  2.40545224])"
1793,Koppl <50321>,GRBEZAKT-503,"array([-2.50275098,  2.40518697])"
1794,Nußdorf am Haunsberg <50325>,GRBEZAKT-503,"array([-2.49443127,  2.41184301])"
1795,Wald im Pinzgau <50626>,GRBEZAKT-506,"array([-2.52339573,  2.42582297])"
1796,Heimschuh <61016>,GRBEZAKT-610,"array([-2.55476425,  2.38661456])"
1797,Ehrenhausen  an der Weinstraße <61049>,GRBEZAKT-610,"array([-2.5444904 ,  2.38210575])"
1798,Sankt Stefan ob Leoben <61115>,GRBEZAKT-611,"array([-2.53974473,  2.39543594])"
1799,Trieben <61247>,GRBEZAKT-612,"array([-2.52550658,  2.38785392])"
1800,Wörschach <61252>,GRBEZAKT-612,"array([-2.49892823,  2.38458855])"
1801,Markt Hartmannsdorf <61716>,GRBEZAKT-617,"array([-2.54423473,  2.3841433 ])"
1802,Sankt Georgen ob Judenburg <62026>,GRBEZAKT-620,"array([-2.52833103,  2.41549242])"
1803,Absam <70301>,GRBEZAKT-703,"array([-2.51841197,  2.41063263])"
1804,Gries im Sellrain <70314>,GRBEZAKT-703,"array([-2.50012148,  2.44381087])"
1805,Hatting <70318>,GRBEZAKT-703,"array([-2.50706571,  2.42624857])"
1806,Pettnau <70339>,GRBEZAKT-703,"array([-2.49829117,  2.42924131])"
1807,Telfes im Stubai <70356>,GRBEZAKT-703,"array([-2.49678512,  2.42589483])"
1808,Heinfels <70735>,GRBEZAKT-707,"array([-2.53882452,  2.43749961])"
1809,Höfen <70816>,GRBEZAKT-708,"array([-2.52682227,  2.43875688])"
1810,Pfafflar <70825>,GRBEZAKT-708,"array([-2.52541626,  2.47450378])"
1811,Wiesing <70939>,GRBEZAKT-709,"array([-2.51139401,  2.4241728 ])"
1812,Bürserberg <80107>,GRBEZAKT-801,"array([-2.5556354 ,  2.41060579])"
1813,Silbertal <80123>,GRBEZAKT-801,"array([-2.54502852,  2.43166362])"
1814,Satteins <80417>,GRBEZAKT-804,"array([-2.53254244,  2.41351306])"
1815,Schnifis <80419>,GRBEZAKT-804,"array([-2.55020676,  2.42011334])"
1816,Sankt Georgen am Fillmannsbach <40435>,GRBEZAKT-404,"array([-2.47276168,  2.43134742])"
1817,Tollet <40830>,GRBEZAKT-408,"array([-2.47097503,  2.40804863])"
1818,Klaus an der Pyhrnbahn <40906>,GRBEZAKT-409,"array([-2.48657388,  2.39975014])"
1819,Rosenau am Hengstpaß <40914>,GRBEZAKT-409,"array([-2.46809263,  2.39423998])"
1820,Vorderstoder <40921>,GRBEZAKT-409,"array([-2.48382506,  2.4104915 ])"
1821,Klam <41107>,GRBEZAKT-411,"array([-2.46671313,  2.36225462])"
1822,Reichraming <41512>,GRBEZAKT-415,"array([-2.47913138,  2.38025354])"
1823,Fischlham <41807>,GRBEZAKT-418,"array([-2.4664715 ,  2.38724485])"
